Story Order,Story Order (Southern),Category,English Word,"Translation (and gender, if appropriate)",Gender,Part of Speech
721,721,,,,,
722,722,,Animals,Gli animali,,
19,19,Animals,dog,il cane (m),,m. noun
193,193,Animals,cat,il gatto (m),,m. noun
282,282,Animals,fish,il pesce (m),,m. noun
322,322,Animals,bird,l’uccello (m),,m. noun
551,551,Animals,cow,la vacca (f) / la mucca (f),,f. noun
132,132,Animals,pig,il maiale (m),,m. noun
197,197,Animals,mouse,il topo (m),,m. noun
253,253,Animals,horse,il cavallo (m),,m. noun
323,323,Animals,wing,l’ala (sing f) / le ali (plural f),,f. noun
255,255,Animals,animal,l’animale (m) / gli animali (plural),,m. noun
723,723,,,,,
724,724,,Transportation Related,Il trasporto,,
510,510,Transportation Related,train,il treno (m),,m. noun
390,390,Transportation Related,plane,l’aeroplano (m),,m. noun
530,530,Transportation Related,car,la macchina (f),,f. noun
114,114,Transportation Related,truck,il camion (m),,m. noun
87,87,Transportation Related,bicycle,la bicicletta (f),,f. noun
455,455,Transportation Related,bus,l’autobus (m) / il pullman (m),,m. noun
147,147,Transportation Related,boat,la barca (f),,f. noun
617,617,Transportation Related,ship,la nave (f),,f. noun
115,115,Transportation Related,tire,la gomma (f),,f. noun
528,528,Transportation Related,gasoline,la benzina (f),,f. noun
529,529,Transportation Related,engine,il motore (m),,m. noun
391,391,Transportation Related,(train) ticket,il biglietto (m),,m. noun
531,531,Transportation Related,transportation,il trasporto (m),,m. noun
725,725,,,,,
726,726,,Locations,La location/posizione,,
517,517,Locations,city,la città (f),,f. noun
415,415,Locations,house,la casa (f),,f. noun
647,647,Locations,apartment,l’appartamento (m),,m. noun
597,597,Locations,street/road,la via (f) / la strada (f),,f. noun
393,393,Locations,airport,l’aeroporto (m),,m. noun
302,302,Locations,train station,la stazione dei treni (f),,f. noun
533,533,Locations,bridge,il ponte (m),,m. noun
163,163,Locations,hotel,l’hotel (m) / l’albergo (m),,m. noun
211,211,Locations,restaurant,il ristorante (m),,m. noun
549,549,Locations,farm,la fattoria (f),,f. noun
169,169,Locations,court,il tribunale (m),,m. noun
469,469,Locations,school,la scuola (f),,f. noun
454,454,Locations,office,l’ufficio (m),,m. noun
692,692,Locations,room,la camera (f) / la stanza (f),,f. noun
80,80,Locations,town,,,
442,442,Locations,university,l’università (f),,f. noun
496,496,Locations,club,il club (m) / la discoteca (f) / la disco,,m. noun / f. noun
436,436,Locations,bar,il pub (m),,m. noun
20,20,Locations,park,il parco (m),,m. noun
639,639,Locations,camp,il campeggio (m),,m. noun
92,92,Locations,store/shop,il negozio (m),,m. noun
66,66,Locations,theater,il teatro (m),,m. noun
457,457,Locations,library,la biblioteca (f),,
691,691,Locations,hospital,l’ospedale (m),,m. noun
